Converged after 207 iterations.
Iteration 1 time: 507 microseconds
Iteration 2 time: 433 microseconds
Iteration 3 time: 433 microseconds
Iteration 4 time: 433 microseconds
Iteration 5 time: 441 microseconds
Iteration 6 time: 379 microseconds
Iteration 7 time: 341 microseconds
Iteration 8 time: 358 microseconds
Iteration 9 time: 341 microseconds
Iteration 10 time: 341 microseconds
Iteration 11 time: 340 microseconds
Iteration 12 time: 358 microseconds
Iteration 13 time: 343 microseconds
Iteration 14 time: 340 microseconds
Iteration 15 time: 353 microseconds
Iteration 16 time: 352 microseconds
Iteration 17 time: 344 microseconds
Iteration 18 time: 370 microseconds
Iteration 19 time: 340 microseconds
Iteration 20 time: 344 microseconds
Iteration 21 time: 340 microseconds
Iteration 22 time: 340 microseconds
Iteration 23 time: 344 microseconds
Iteration 24 time: 349 microseconds
Iteration 25 time: 340 microseconds
Iteration 26 time: 340 microseconds
Iteration 27 time: 340 microseconds
Iteration 28 time: 346 microseconds
Iteration 29 time: 221 microseconds
Iteration 30 time: 214 microseconds
Iteration 31 time: 213 microseconds
Iteration 32 time: 215 microseconds
Iteration 33 time: 221 microseconds
Iteration 34 time: 219 microseconds
Iteration 35 time: 212 microseconds
Iteration 36 time: 212 microseconds
Iteration 37 time: 268 microseconds
Iteration 38 time: 358 microseconds
Iteration 39 time: 340 microseconds
Iteration 40 time: 340 microseconds
Iteration 41 time: 343 microseconds
Iteration 42 time: 360 microseconds
Iteration 43 time: 352 microseconds
Iteration 44 time: 340 microseconds
Iteration 45 time: 340 microseconds
Iteration 46 time: 342 microseconds
Iteration 47 time: 340 microseconds
Iteration 48 time: 340 microseconds
Iteration 49 time: 340 microseconds
Iteration 50 time: 340 microseconds
Iteration 51 time: 340 microseconds
Iteration 52 time: 340 microseconds
Iteration 53 time: 340 microseconds
Iteration 54 time: 343 microseconds
Iteration 55 time: 340 microseconds
Iteration 56 time: 340 microseconds
Iteration 57 time: 344 microseconds
Iteration 58 time: 343 microseconds
Iteration 59 time: 340 microseconds
Iteration 60 time: 326 microseconds
Iteration 61 time: 302 microseconds
Iteration 62 time: 306 microseconds
Iteration 63 time: 295 microseconds
Iteration 64 time: 295 microseconds
Iteration 65 time: 326 microseconds
Iteration 66 time: 309 microseconds
Iteration 67 time: 320 microseconds
Iteration 68 time: 309 microseconds
Iteration 69 time: 324 microseconds
Iteration 70 time: 303 microseconds
Iteration 71 time: 295 microseconds
Iteration 72 time: 295 microseconds
Iteration 73 time: 295 microseconds
Iteration 74 time: 295 microseconds
Iteration 75 time: 295 microseconds
Iteration 76 time: 295 microseconds
Iteration 77 time: 295 microseconds
Iteration 78 time: 295 microseconds
Iteration 79 time: 303 microseconds
Iteration 80 time: 296 microseconds
Iteration 81 time: 295 microseconds
Iteration 82 time: 315 microseconds
Iteration 83 time: 295 microseconds
Iteration 84 time: 295 microseconds
Iteration 85 time: 295 microseconds
Iteration 86 time: 295 microseconds
Iteration 87 time: 299 microseconds
Iteration 88 time: 295 microseconds
Iteration 89 time: 295 microseconds
Iteration 90 time: 296 microseconds
Iteration 91 time: 296 microseconds
Iteration 92 time: 296 microseconds
Iteration 93 time: 284 microseconds
Iteration 94 time: 263 microseconds
Iteration 95 time: 264 microseconds
Iteration 96 time: 266 microseconds
Iteration 97 time: 264 microseconds
Iteration 98 time: 271 microseconds
Iteration 99 time: 264 microseconds
Iteration 100 time: 265 microseconds
Iteration 101 time: 264 microseconds
Iteration 102 time: 268 microseconds
Iteration 103 time: 265 microseconds
Iteration 104 time: 265 microseconds
Iteration 105 time: 266 microseconds
Iteration 106 time: 266 microseconds
Iteration 107 time: 266 microseconds
Iteration 108 time: 266 microseconds
Iteration 109 time: 266 microseconds
Iteration 110 time: 267 microseconds
Iteration 111 time: 270 microseconds
Iteration 112 time: 267 microseconds
Iteration 113 time: 267 microseconds
Iteration 114 time: 267 microseconds
Iteration 115 time: 270 microseconds
Iteration 116 time: 266 microseconds
Iteration 117 time: 268 microseconds
Iteration 118 time: 273 microseconds
Iteration 119 time: 267 microseconds
Iteration 120 time: 267 microseconds
Iteration 121 time: 267 microseconds
Iteration 122 time: 285 microseconds
Iteration 123 time: 253 microseconds
Iteration 124 time: 256 microseconds
Iteration 125 time: 267 microseconds
Iteration 126 time: 274 microseconds
Iteration 127 time: 254 microseconds
Iteration 128 time: 246 microseconds
Iteration 129 time: 261 microseconds
Iteration 130 time: 261 microseconds
Iteration 131 time: 246 microseconds
Iteration 132 time: 250 microseconds
Iteration 133 time: 246 microseconds
Iteration 134 time: 254 microseconds
Iteration 135 time: 246 microseconds
Iteration 136 time: 250 microseconds
Iteration 137 time: 246 microseconds
Iteration 138 time: 251 microseconds
Iteration 139 time: 252 microseconds
Iteration 140 time: 251 microseconds
Iteration 141 time: 247 microseconds
Iteration 142 time: 247 microseconds
Iteration 143 time: 247 microseconds
Iteration 144 time: 246 microseconds
Iteration 145 time: 246 microseconds
Iteration 146 time: 266 microseconds
